player_id,install_date,platform,region,skill_factor,spender
P00045,2026-01-31,Xbox,NA-West,0.314,0
P00046,2026-01-06,Xbox,EU,0.733,0
P00047,2026-01-27,PS5,LATAM,0.853,0
P00048,2026-03-24,PC,NA-East,0.906,0
P00049,2026-03-14,PC,EU,1.136,1
P00050,2026-02-14,PS5,EU,1.527,0
P00051,2026-03-11,Xbox,NA-East,0.861,0
P00052,2026-03-12,PC,EU,0.842,1
P00053,2026-01-14,PS5,NA-West,0.99,0
P00054,2026-01-27,Xbox,LATAM,0.738,0
P00055,2026-01-07,PS5,NA-East,1.307,1
P00056,2026-01-17,Xbox,LATAM,0.822,0
P00057,2026-02-24,Xbox,NA-West,0.842,0
P00058,2026-02-17,PC,NA-East,0.828,0
P00059,2026-01-06,PC,NA-East,1.194,0
P00060,2026-03-13,Xbox,NA-West,1.267,0
P00061,2026-01-31,PC,LATAM,1.631,0
P00062,2026-02-12,Xbox,NA-West,1.073,0
P00063,2026-03-31,PS5,NA-West,1.552,1
P00064,2026-02-28,PC,NA-West,0.62,1
P00065,2026-01-25,PC,EU,0.773,0
P00066,2026-03-07,Xbox,EU,0.203,0
P00067,2026-01-15,Xbox,EU,1.195,1
P00068,2026-03-18,PS5,LATAM,0.482,0
P00069,2026-03-07,PC,EU,1.561,1
P00070,2026-02-25,Xbox,NA-West,1.798,0
P00071,2026-01-09,Xbox,EU,1.748,0
P00072,2026-01-16,PS5,LATAM,0.944,0
P00073,2026-03-31,PS5,LATAM,0.948,0
P00074,2026-01-23,Xbox,NA-East,0.778,0
P00075,2026-01-27,Xbox,EU,0.583,0
P00076,2026-02-26,Xbox,NA-West,0.811,0
P00077,2026-02-06,PS5,NA-East,0.507,0
P00078,2026-01-31,PC,NA-West,0.884,0
P00079,2026-02-01,PC,LATAM,1.479,0
P00080,2026-03-22,PS5,LATAM,0.505,0
P00081,2026-01-19,PC,LATAM,0.979,0
P00082,2026-03-31,PC,NA-East,0.888,0
P00083,2026-03-01,Xbox,EU,0.485,0
P00084,2026-02-26,Xbox,LATAM,0.576,0
P00085,2026-03-12,PS5,LATAM,0.806,0
P00086,2026-02-01,Xbox,LATAM,1.151,0
P00087,2026-02-05,PC,EU,0.486,0
P00088,2026-03-11,PS5,NA-West,1.175,0
P00089,2026-01-09,PS5,LATAM,0.73,1
P00090,2026-02-23,Xbox,NA-East,0.539,0
P00091,2026-03-15,PS5,EU,0.972,0
P00092,2026-02-23,Xbox,NA-West,0.446,0
P00093,2026-02-04,PS5,LATAM,0.922,0
P00094,2026-03-01,Xbox,NA-East,1.861,0
P00095,2026-03-17,Xbox,LATAM,0.925,0
P00096,2026-03-01,PS5,NA-West,1.113,0
P00097,2026-02-13,PS5,EU,1.024,0
P00098,2026-03-02,PS5,NA-West,1.433,0
P00099,2026-03-25,PC,NA-West,1.085,0
P00100,2026-03-21,Xbox,NA-East,1.105,0
P00101,2026-01-28,PS5,NA-West,0.737,0
P00102,2026-01-15,PS5,NA-East,1.036,0
P00103,2026-02-09,PS5,LATAM,0.32,0
P00104,2026-01-26,Xbox,NA-West,1.476,1
P00105,2026-02-08,PC,NA-East,1.279,0
P00106,2026-02-24,Xbox,EU,0.93,1
P00107,2026-02-23,PS5,LATAM,1.073,0
P00108,2026-02-25,Xbox,EU,1.19,0
P00109,2026-03-10,Xbox,EU,1.06,0
P00110,2026-02-01,PS5,NA-West,1.072,0
P00111,2026-03-14,PC,LATAM,0.737,0
P00112,2026-01-24,PS5,EU,0.673,0
P00113,2026-03-18,PC,NA-West,0.915,0
P00114,2026-02-22,Xbox,LATAM,0.412,0
P00115,2026-03-04,PS5,NA-West,0.938,0
P00116,2026-02-01,PS5,EU,0.84,0
P00117,2026-03-12,PS5,EU,0.735,1
P00118,2026-01-16,Xbox,NA-West,0.945,0
P00119,2026-03-03,Xbox,EU,0.923,0
P00120,2026-01-25,PS5,NA-East,0.905,0
P00121,2026-01-17,Xbox,EU,0.856,0
P00122,2026-01-17,PC,NA-East,0.621,0
P00123,2026-03-02,PC,EU,0.683,0
P00124,2026-03-03,PS5,NA-East,1.097,0
P00125,2026-03-29,Xbox,EU,1.188,1
P00126,2026-02-01,Xbox,NA-West,1.438,0
P00127,2026-02-18,Xbox,LATAM,0.64,0
P00128,2026-03-21,PC,NA-West,1.826,0
P00129,2026-02-03,PC,NA-East,0.891,0
P00130,2026-02-22,PS5,NA-East,0.553,1
P00131,2026-04-01,PC,NA-West,0.858,0
P00132,2026-03-22,PC,LATAM,0.466,0
P00133,2026-01-29,PC,NA-East,0.541,0
P00134,2026-02-09,PS5,LATAM,0.46,0
P00135,2026-03-30,PS5,LATAM,0.882,0
P00136,2026-03-18,PS5,EU,1.361,1
P00137,2026-01-30,Xbox,NA-East,1.647,0
P00138,2026-03-28,PC,LATAM,1.199,0
P00139,2026-02-26,Xbox,LATAM,1.191,0
P00140,2026-03-04,PS5,EU,1.387,0
P00141,2026-01-14,Xbox,LATAM,1.196,0
P00142,2026-02-21,PS5,NA-East,1.172,0
P00143,2026-02-11,Xbox,NA-East,1.449,0
P00144,2026-03-11,Xbox,EU,0.886,0
P00145,2026-03-05,PC,EU,0.583,0
P00146,2026-02-06,PC,NA-East,0.499,0
P00147,2026-03-19,PS5,NA-East,1.168,0
P00148,2026-01-12,PC,LATAM,1.106,0
P00149,2026-03-24,Xbox,EU,1.203,0
P00150,2026-02-04,PS5,NA-West,0.654,0
P00151,2026-01-19,Xbox,NA-West,0.412,0
P00152,2026-02-05,PS5,EU,1.098,0
P00153,2026-02-06,Xbox,LATAM,0.9,0
P00154,2026-02-27,Xbox,LATAM,0.687,0
P00155,2026-02-11,PC,LATAM,1.672,0
P00156,2026-02-22,Xbox,LATAM,1.557,0
P00157,2026-03-26,PC,LATAM,1.134,0
P00158,2026-01-17,PC,LATAM,0.533,1
P00159,2026-02-28,Xbox,NA-West,1.194,1
P00160,2026-02-03,Xbox,NA-East,0.716,0
P00161,2026-03-28,PS5,LATAM,1.217,0
P00162,2026-01-05,Xbox,EU,0.811,0
P00163,2026-01-12,Xbox,NA-East,0.854,0
P00164,2026-03-30,PS5,NA-East,0.974,0
P00165,2026-02-17,PS5,NA-West,0.763,1
P00166,2026-01-11,Xbox,NA-West,0.734,0
P00167,2026-03-16,PS5,LATAM,1.242,1
P00168,2026-01-02,PS5,NA-West,1.315,0
P00169,2026-02-14,PS5,EU,1.294,0
P00170,2026-02-08,PS5,NA-East,1.108,1
P00171,2026-03-15,Xbox,EU,0.815,1
P00172,2026-03-26,Xbox,NA-East,0.965,0
P00173,2026-03-05,PC,EU,1.376,0
P00174,2026-01-25,Xbox,NA-West,0.618,0
P00175,2026-03-22,PS5,NA-East,0.818,0
P00176,2026-01-17,Xbox,LATAM,1.247,1
P00177,2026-01-17,PS5,EU,1.163,0
P00178,2026-02-02,PS5,EU,1.721,0
P00179,2026-03-01,PC,LATAM,1.188,0
P00180,2026-03-13,PC,EU,0.588,0
P00181,2026-02-28,PS5,LATAM,0.605,0
P00182,2026-02-17,PC,EU,1.199,0
P00183,2026-01-29,PS5,EU,0.702,0
P00184,2026-01-15,PS5,LATAM,1.54,1
P00185,2026-01-31,PS5,EU,1.144,0
P00186,2026-03-31,Xbox,NA-West,1.344,0
P00187,2026-03-25,PS5,EU,1.33,1
P00188,2026-02-17,PC,EU,1.078,1
P00189,2026-03-29,Xbox,EU,0.493,1
P00190,2026-02-05,PS5,NA-East,1.066,0
P00191,2026-03-24,PC,EU,0.404,0
P00192,2026-01-17,Xbox,NA-West,1.055,0
P00193,2026-01-30,Xbox,NA-East,0.906,0
P00194,2026-01-19,PC,NA-East,1.435,0
P00195,2026-01-04,PC,EU,1.223,1
P00196,2026-02-03,Xbox,NA-East,1.545,0
P00197,2026-03-02,Xbox,NA-East,0.686,0
P00198,2026-01-29,Xbox,EU,1.098,0
P00199,2026-01-04,PS5,LATAM,1.371,0
P00200,2026-03-04,PC,EU,0.911,0
P00201,2026-01-09,Xbox,EU,1.344,0
P00202,2026-03-18,Xbox,LATAM,0.622,1
P00203,2026-03-31,Xbox,NA-West,1.384,0
P00204,2026-01-30,PS5,LATAM,0.438,0
P00205,2026-02-10,PS5,NA-West,0.536,0
P00206,2026-03-02,PC,LATAM,1.603,1
P00207,2026-02-17,Xbox,EU,1.169,0
P00208,2026-02-22,PS5,NA-East,0.686,0
P00209,2026-03-18,Xbox,NA-West,0.937,1
P00210,2026-03-03,Xbox,EU,1.027,1
P00211,2026-02-05,Xbox,NA-East,0.433,0
P00212,2026-03-26,PC,EU,1.132,0
P00213,2026-02-09,PC,NA-West,1.287,0
P00214,2026-02-21,PC,NA-East,1.521,0
P00215,2026-01-28,PC,EU,0.726,0
P00216,2026-02-11,PC,NA-East,1.076,0
P00217,2026-03-21,PS5,LATAM,1.137,0
P00218,2026-02-26,Xbox,NA-East,0.791,0
P00219,2026-01-15,PS5,EU,0.891,1
P00220,2026-02-20,PC,EU,1.117,0
P00221,2026-01-18,PC,NA-East,1.026,0
P00222,2026-02-25,Xbox,NA-West,1.154,0
P00223,2026-03-27,Xbox,NA-East,1.047,0
P00224,2026-02-28,Xbox,LATAM,1.613,0
P00225,2026-04-01,PS5,NA-East,0.816,0
P00226,2026-01-22,Xbox,EU,1.154,0
P00227,2026-01-14,Xbox,NA-East,1.02,1
P00228,2026-02-09,PC,NA-East,0.993,0
P00229,2026-01-15,PS5,EU,0.774,0
P00230,2026-03-24,PC,EU,1.102,0
P00231,2026-03-19,PC,NA-West,1.338,0
P00232,2026-03-22,Xbox,LATAM,0.414,0
P00233,2026-03-14,PS5,EU,0.36,0
P00234,2026-01-09,PS5,NA-East,0.515,0
P00235,2026-01-10,PC,EU,0.858,0
P00236,2026-01-10,PC,LATAM,0.408,0
P00237,2026-03-12,PC,LATAM,1.55,0
P00238,2026-03-15,PS5,NA-West,0.822,0
P00239,2026-02-27,PS5,NA-East,1.597,0
P00240,2026-01-23,PS5,NA-West,1.532,0
P00241,2026-02-06,Xbox,NA-East,0.541,0
P00242,2026-03-24,Xbox,LATAM,0.841,1
P00243,2026-03-26,PC,EU,1.464,1
P00244,2026-03-26,Xbox,LATAM,1.205,1
P00245,2026-04-01,PS5,EU,1.279,0
P00246,2026-03-27,Xbox,NA-East,0.752,0
P00247,2026-02-24,PS5,NA-West,0.933,0
P00248,2026-02-13,PC,NA-West,1.382,0
P00249,2026-02-07,Xbox,NA-East,1.09,0
P00250,2026-03-21,PC,NA-West,1.231,0
P00251,2026-03-21,PS5,NA-East,1.076,0
P00252,2026-03-28,Xbox,EU,0.824,0
P00253,2026-02-27,PS5,NA-West,1.026,0
P00254,2026-03-15,PS5,LATAM,1.388,0
P00255,2026-02-23,Xbox,NA-West,1.63,0
P00256,2026-01-07,Xbox,NA-East,0.55,0
P00257,2026-03-08,PC,EU,1.17,0
P00258,2026-03-07,PC,LATAM,1.226,0
P00259,2026-01-04,PS5,NA-West,0.697,0
P00260,2026-01-11,PC,EU,0.941,0
P00261,2026-01-18,PS5,NA-West,1.759,0
P00262,2026-03-02,PC,NA-East,0.966,0
P00263,2026-01-20,Xbox,LATAM,0.462,0
P00264,2026-02-06,PC,LATAM,1.014,0
P00265,2026-03-21,PS5,NA-East,0.836,0
P00266,2026-03-15,PS5,NA-East,1.01,0
P00267,2026-01-31,Xbox,NA-East,0.796,0
P00268,2026-02-16,Xbox,NA-East,1.39,0
P00269,2026-03-02,PS5,EU,1.333,0
P00270,2026-02-15,Xbox,NA-East,1.077,0
P00271,2026-02-12,PS5,NA-West,1.218,0
P00272,2026-03-29,Xbox,NA-West,0.474,0
P00273,2026-01-09,PC,EU,0.822,0
P00274,2026-01-26,PS5,LATAM,1.23,0
P00275,2026-03-11,Xbox,NA-West,0.906,0
P00276,2026-01-07,PC,EU,1.209,0
P00277,2026-02-21,PS5,EU,0.969,0
P00278,2026-03-05,Xbox,EU,0.881,0
P00279,2026-02-24,PC,EU,1.418,0
P00280,2026-01-11,PS5,LATAM,0.862,1
P00281,2026-02-26,PS5,LATAM,0.939,0
P00282,2026-01-08,PS5,NA-West,1.444,0
P00283,2026-01-19,PS5,NA-East,1.306,0
P00284,2026-01-31,PS5,NA-East,1.06,0
P00285,2026-03-28,PS5,NA-East,0.68,0
P00286,2026-03-09,PS5,NA-West,0.796,0
P00287,2026-01-04,PS5,NA-East,0.963,0
P00288,2026-02-03,Xbox,EU,0.931,0
P00289,2026-03-04,PC,LATAM,1.058,1
P00290,2026-02-26,PS5,EU,1.638,0
P00291,2026-03-12,PC,NA-West,0.288,0
P00292,2026-03-07,PC,NA-West,1.164,0
P00293,2026-01-04,PS5,NA-West,0.707,0
P00294,2026-01-12,Xbox,LATAM,1.323,0
P00295,2026-02-22,PS5,NA-East,1.061,0
P00296,2026-03-29,Xbox,NA-West,0.818,0
P00297,2026-01-17,PC,NA-East,0.299,0
P00298,2026-02-08,Xbox,NA-West,1.158,0
P00299,2026-03-08,PS5,NA-West,1.535,0
P00300,2026-03-12,Xbox,NA-East,0.925,0
P00301,2026-01-22,PC,EU,0.613,0
P00302,2026-03-14,PC,NA-East,1.676,0
P00303,2026-03-15,Xbox,LATAM,0.978,0
P00304,2026-01-04,PS5,EU,0.508,0
P00305,2026-03-29,Xbox,NA-East,0.68,1
P00306,2026-02-23,Xbox,NA-West,0.765,0
P00307,2026-02-10,PS5,NA-West,0.931,0
P00308,2026-03-07,PS5,NA-East,0.716,0
P00309,2026-02-01,PS5,LATAM,1.071,0
P00310,2026-01-21,Xbox,EU,1.317,0
P00311,2026-01-21,PS5,EU,0.579,0
P00312,2026-01-12,PC,NA-West,1.391,0
P00313,2026-01-07,Xbox,LATAM,1.389,0
P00314,2026-01-02,PS5,EU,1.213,0
P00315,2026-02-16,Xbox,NA-West,1.109,0
P00316,2026-02-06,Xbox,EU,1.371,0
P00317,2026-03-21,PC,LATAM,0.925,0
P00318,2026-02-13,PC,NA-West,0.688,0
P00319,2026-02-21,PC,EU,0.893,0
P00320,2026-03-08,Xbox,NA-West,0.539,0
P00321,2026-03-20,Xbox,EU,0.854,0
P00322,2026-03-06,Xbox,EU,1.204,0
P00323,2026-01-03,PS5,EU,0.645,0
P00324,2026-03-30,PS5,NA-West,0.675,0
P00325,2026-03-16,Xbox,LATAM,0.577,1
P00326,2026-03-29,Xbox,NA-East,1.022,1
P00327,2026-02-26,Xbox,NA-West,0.922,0
P00328,2026-03-20,Xbox,NA-East,1.624,0
P00329,2026-03-08,Xbox,LATAM,1.082,0
P00330,2026-02-10,Xbox,EU,1.374,0
P00331,2026-03-28,Xbox,EU,1.077,0
P00332,2026-01-25,PS5,NA-West,1.273,0
P00333,2026-02-08,Xbox,LATAM,1.073,0
P00334,2026-02-14,Xbox,EU,0.241,0
P00335,2026-03-15,PS5,EU,0.848,0
P00336,2026-01-19,Xbox,NA-East,0.928,0
P00337,2026-02-26,PC,NA-West,0.677,0
P00338,2026-02-04,PC,NA-East,1.493,0
P00339,2026-03-17,Xbox,NA-West,1.008,0
P00340,2026-01-07,PS5,NA-East,1.253,0
P00341,2026-01-18,PC,LATAM,1.442,0
P00342,2026-03-02,PS5,EU,0.769,0
P00343,2026-01-08,Xbox,NA-West,1.127,0
P00344,2026-01-05,PC,NA-East,1.186,0
P00345,2026-02-20,Xbox,EU,1.053,0
P00346,2026-01-02,PS5,EU,0.858,0
P00347,2026-03-24,PC,LATAM,0.607,0
P00348,2026-01-15,Xbox,EU,0.725,0
P00349,2026-01-02,Xbox,NA-West,0.948,0
P00350,2026-03-23,Xbox,EU,1.523,0
P00351,2026-03-27,PS5,EU,1.817,0
P00352,2026-01-01,PS5,EU,0.983,0
P00353,2026-03-15,Xbox,NA-West,1.508,1
P00354,2026-01-16,Xbox,EU,0.798,0
P00355,2026-03-23,Xbox,NA-West,1.253,0
P00356,2026-01-18,Xbox,EU,0.618,0
P00357,2026-03-12,Xbox,NA-West,1.503,0
P00358,2026-03-29,PC,LATAM,1.021,0
P00359,2026-02-16,PC,NA-West,1.398,0
P00360,2026-01-20,PS5,NA-East,1.352,0
P00361,2026-03-16,PS5,NA-East,0.253,0
P00362,2026-03-07,Xbox,LATAM,0.611,0
P00363,2026-02-09,PC,NA-West,0.941,0
P00364,2026-01-06,Xbox,NA-East,0.518,0
P00365,2026-01-09,PS5,LATAM,1.394,0
P00366,2026-01-18,Xbox,LATAM,1.096,0
P00367,2026-02-18,PS5,LATAM,0.259,1
P00368,2026-03-26,PS5,NA-East,1.132,0
P00369,2026-03-10,PC,NA-East,0.857,0
P00370,2026-02-08,PS5,LATAM,0.457,0
P00371,2026-02-01,PC,NA-East,0.803,1
P00372,2026-03-26,PC,NA-West,0.479,1
P00373,2026-01-13,Xbox,NA-East,0.684,0
P00374,2026-01-06,PC,NA-East,0.791,1
P00375,2026-02-07,Xbox,EU,1.077,1
P00376,2026-03-28,PC,NA-West,1.107,0
P00377,2026-02-05,Xbox,NA-West,1.791,0
P00378,2026-02-24,PS5,LATAM,0.898,0
P00379,2026-02-10,PS5,LATAM,0.881,0
P00380,2026-03-10,PS5,NA-West,0.328,0
P00381,2026-01-08,Xbox,NA-West,0.2,0
P00382,2026-02-02,PS5,EU,1.146,1
P00383,2026-01-25,Xbox,NA-East,1.323,0
P00384,2026-01-25,Xbox,NA-West,1.157,0
P00385,2026-02-12,PC,NA-West,0.749,0
P00386,2026-01-16,PC,NA-West,0.989,0
P00387,2026-01-31,PS5,LATAM,0.427,0
P00388,2026-02-15,PS5,LATAM,0.881,1
P00389,2026-03-02,PC,EU,1.022,0
P00390,2026-01-06,PC,NA-East,0.771,0
P00391,2026-03-16,PC,NA-West,0.68,0
P00392,2026-02-18,Xbox,EU,0.762,0
P00393,2026-03-04,PS5,LATAM,1.49,0
P00394,2026-02-15,PS5,NA-West,1.271,0
P00395,2026-03-11,Xbox,NA-East,1.877,0
P00396,2026-01-10,PC,LATAM,1.489,0
P00397,2026-03-22,PC,NA-West,1.064,0
P00398,2026-02-17,Xbox,LATAM,1.463,0
P00399,2026-01-03,PC,NA-East,1.443,0
P00400,2026-02-05,Xbox,LATAM,0.72,0
P00401,2026-01-23,PC,NA-West,1.123,1
P00402,2026-03-09,PS5,NA-East,0.995,0
P00403,2026-02-21,Xbox,NA-West,0.747,0
P00404,2026-01-11,PC,NA-East,0.607,0
P00405,2026-02-18,PC,NA-West,0.888,1
P00406,2026-02-25,PC,NA-East,0.807,0
P00407,2026-03-30,PC,NA-East,1.302,0
P00408,2026-02-05,PC,NA-West,1.363,0
P00409,2026-02-10,PC,LATAM,1.237,0
P00410,2026-02-08,PS5,EU,1.136,0
P00411,2026-01-18,PC,EU,1.135,0
P00412,2026-02-25,Xbox,LATAM,1.016,0
P00413,2026-02-11,PS5,LATAM,1.275,0
P00414,2026-03-12,Xbox,LATAM,1.347,0
P00415,2026-03-21,PC,NA-East,0.926,1
P00416,2026-02-18,Xbox,LATAM,0.882,0
P00417,2026-01-14,PS5,EU,1.703,0
P00418,2026-01-14,PS5,LATAM,1.152,1
P00419,2026-01-12,Xbox,EU,0.906,0
P00420,2026-01-02,PC,NA-West,0.91,0
P00421,2026-01-22,PS5,EU,0.916,0
P00422,2026-01-19,PS5,EU,1.345,0
P00423,2026-01-10,Xbox,LATAM,0.459,0
P00424,2026-01-26,PC,LATAM,0.818,0
P00425,2026-03-21,PS5,EU,0.492,0
P00426,2026-03-25,PS5,NA-West,1.187,0
P00427,2026-01-23,PS5,LATAM,1.899,0
P00428,2026-02-01,PS5,EU,0.87,1
P00429,2026-03-14,PC,NA-East,1.373,0
P00430,2026-03-01,PS5,NA-East,1.225,0
P00431,2026-02-22,PS5,NA-West,0.911,0
P00432,2026-01-20,PC,LATAM,0.866,0
P00433,2026-03-03,Xbox,LATAM,0.624,0
P00434,2026-02-16,Xbox,NA-East,0.808,0
P00435,2026-02-01,Xbox,NA-East,0.82,0
P00436,2026-03-24,PS5,LATAM,0.844,0
P00437,2026-01-13,Xbox,NA-West,0.977,0
P00438,2026-02-20,Xbox,NA-West,0.486,0
P00439,2026-01-04,PC,NA-East,0.709,0
P00440,2026-01-19,PC,LATAM,0.814,0
P00441,2026-01-13,PS5,NA-East,0.5,0
P00442,2026-04-01,Xbox,NA-East,1.51,0
P00443,2026-01-22,Xbox,NA-West,1.52,0
P00444,2026-02-12,PC,LATAM,0.2,0
P00445,2026-01-24,PC,NA-West,0.764,0
P00446,2026-02-24,PC,EU,0.581,0
P00447,2026-01-09,Xbox,NA-West,0.445,0
P00448,2026-01-26,PS5,EU,0.737,0
P00449,2026-03-20,PS5,LATAM,0.865,0
P00450,2026-03-28,Xbox,NA-East,0.92,0
P00451,2026-02-10,PC,EU,1.221,0
P00452,2026-03-07,Xbox,LATAM,0.64,0
P00453,2026-03-04,Xbox,NA-West,0.645,0
P00454,2026-03-04,PS5,NA-East,0.946,0
P00455,2026-01-02,PS5,LATAM,0.77,0
P00456,2026-03-04,PS5,NA-West,0.422,1
P00457,2026-01-04,PC,EU,1.07,0
P00458,2026-02-06,Xbox,LATAM,1.19,0
P00459,2026-01-15,Xbox,EU,0.752,0
P00460,2026-01-06,PC,LATAM,1.024,0
P00461,2026-03-25,PC,LATAM,1.002,0
P00462,2026-01-12,PC,NA-West,0.2,0
P00463,2026-03-17,Xbox,LATAM,0.741,0
P00464,2026-01-18,PC,EU,1.139,0
P00465,2026-03-18,Xbox,EU,0.7,0
P00466,2026-02-04,Xbox,NA-East,1.402,0
P00467,2026-02-22,Xbox,NA-West,1.955,0
P00468,2026-01-17,PC,LATAM,1.001,0
P00469,2026-03-15,PS5,LATAM,0.669,0
P00470,2026-01-12,Xbox,EU,0.523,0
P00471,2026-03-04,Xbox,NA-East,0.989,0
P00472,2026-02-28,PC,LATAM,0.642,0
P00473,2026-02-24,PS5,EU,1.185,0
P00474,2026-03-15,PS5,NA-East,1.467,1
P00475,2026-03-22,PC,NA-West,1.082,0
P00476,2026-01-01,Xbox,NA-West,1.369,0
P00477,2026-02-08,PS5,NA-East,1.44,0
P00478,2026-02-02,Xbox,NA-West,1.449,1
P00479,2026-03-22,PC,LATAM,0.815,0
P00480,2026-04-01,PC,NA-West,1.2,0
P00481,2026-03-08,Xbox,EU,0.98,0
P00482,2026-02-24,PC,LATAM,0.863,0
P00483,2026-01-14,PS5,NA-West,1.267,0
P00484,2026-01-18,PC,NA-East,0.669,0
P00485,2026-01-22,Xbox,NA-West,0.479,0
P00486,2026-03-20,PC,NA-East,0.731,0
P00487,2026-01-16,PS5,EU,0.709,0
P00488,2026-02-01,Xbox,EU,0.975,0
P00489,2026-03-30,PS5,NA-West,1.669,0
P00490,2026-03-07,Xbox,NA-East,1.131,0
P00491,2026-01-31,PS5,NA-East,0.829,0
P00492,2026-01-02,PC,LATAM,1.813,0
P00493,2026-03-14,PC,LATAM,0.613,0
P00494,2026-01-10,PS5,NA-West,1.13,1
P00495,2026-01-08,PS5,LATAM,1.334,0
P00496,2026-02-21,Xbox,NA-West,1.377,0
P00497,2026-02-09,PC,EU,1.693,0
P00498,2026-03-23,Xbox,NA-East,1.042,0
P00499,2026-02-25,PC,NA-West,0.915,0
P00500,2026-02-25,PC,EU,1.359,0
P00501,2026-03-26,Xbox,NA-West,0.99,0
P00502,2026-01-21,Xbox,EU,0.677,0
P00503,2026-01-17,Xbox,NA-East,0.999,0
P00504,2026-01-04,Xbox,NA-East,0.811,1
P00505,2026-03-15,Xbox,EU,0.715,0
P00506,2026-03-14,PC,NA-East,1.102,1
P00507,2026-03-07,PC,NA-West,1.692,1
P00508,2026-02-16,PC,LATAM,0.852,1
P00509,2026-02-01,PS5,NA-East,0.517,0
P00510,2026-01-16,PC,NA-West,0.246,0
P00511,2026-01-06,PS5,EU,1.127,0
P00512,2026-02-09,PC,EU,0.793,1
P00513,2026-03-14,PC,LATAM,1.124,0
P00514,2026-03-05,Xbox,NA-West,1.605,0
P00515,2026-02-22,Xbox,NA-East,1.432,0
P00516,2026-01-01,Xbox,EU,1.019,0
P00517,2026-03-09,PC,NA-West,1.363,0
P00518,2026-01-12,Xbox,LATAM,1.244,0
P00519,2026-02-17,Xbox,NA-East,0.439,0
P00520,2026-03-23,Xbox,NA-East,1.059,0
P00521,2026-01-17,PS5,LATAM,1.023,0
P00522,2026-02-11,PC,NA-West,0.884,1
P00523,2026-03-16,PS5,LATAM,1.128,0
P00524,2026-01-16,PC,LATAM,0.2,0
P00525,2026-02-03,Xbox,EU,1.091,0
P00526,2026-03-31,PS5,NA-West,0.806,0
P00527,2026-02-01,PC,EU,1.345,0
P00528,2026-01-23,PS5,NA-West,1.35,1
P00529,2026-01-14,PC,NA-East,1.064,0
P00530,2026-01-29,PS5,NA-East,1.444,0
P00531,2026-02-03,PC,NA-West,1.12,0
P00532,2026-02-26,PS5,NA-East,1.056,1
P00533,2026-03-01,PS5,LATAM,1.755,0
P00534,2026-02-18,PC,NA-West,0.912,0
P00535,2026-02-27,Xbox,NA-West,1.069,0
P00536,2026-03-05,PC,NA-East,0.623,1
P00537,2026-01-18,Xbox,NA-West,0.561,0
P00538,2026-03-11,Xbox,EU,1.293,0
P00539,2026-03-04,PS5,LATAM,0.748,1
P00540,2026-01-04,PS5,NA-East,0.897,0
P00541,2026-03-02,PC,NA-West,0.413,0
P00542,2026-03-26,Xbox,NA-East,1.024,0
P00543,2026-01-29,PS5,EU,0.2,0
P00544,2026-01-23,Xbox,EU,1.21,0
P00545,2026-01-04,Xbox,NA-West,0.906,0
